query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
97,vanilla,What did Bannon say about media?,Called media opposition party,"The provided documents do not contain any direct statements from Steve Bannon regarding his views or opinions about the media. The content refers to President Trump's Chief Strategist, Steve Bannon accidentally revealing his ""to-do"" list, but no specific commentary on media is mentioned in this document.",0,0.0
98,vanilla,How many Cabinet nominees were confirmed?,All but one,"According to the provided documents, two cabinet nominees were confirmed by the U.S. Senate: Heather Wilson as Trump's Air Force secretary and the nominee for U.S. Trade Representative (name not specified in document). However, none of these confirmations are related to members of the Federal Reserve Board, which is still awaiting nominations weeks after the query was made. Therefore, based on available documents, there were two confirmed cabinet positions.",0,0.5
99,vanilla,What was Kelly's border wall timeline?,2-3 years estimate,"The documents do not provide specific details about Secretary John Kelly's proposed timeline for the construction of President Trump's border wall. However, it is mentioned that President Donald Trump requested $1.6 billion from Congress to begin building a wall along the U.S.-Mexico border during his first 100 days in office (Doc ID: 0299).",0,0.5
100,vanilla,How did Netanyahu respond to intelligence leak?,Called it troubling,"According to Document ID: 0308, Israeli intelligence experts were alarmed by President Trump's sharing of classified information with Russia but did not comment specifically on Netanyahu's reaction. There is no direct reference in these documents about Netanyahu's response to the intelligence leak.",0,0.3
101,vanilla,What did Polish president say about NATO?,Supports Article 5,"Based on the retrieved documents, there is no specific information available regarding what the Polish President said about NATO. The documents contain statements from U.S. National Security Adviser H.R. McMaster, NATO Secretary-General Jens Stoltenberg, and a senior White House official on the commitment of President Donald Trump to defending Europe through NATO's mutual defense doctrine. However, they do not provide any direct statements from the Polish president regarding NATO.",0,0.5
102,vanilla,How many times did Trump play golf?,More than 20 times,The provided documents do not contain information about how many times President Trump played golf during his tenure or time spent in the White House bubble.,0,0.0
103,vanilla,What was Pruitt's climate change stance?,Questions human impact,"Based on the given documents, Scott Pruitt recused himself from several court cases that he previously pursued against his agency when he served as Oklahoma attorney general. However, there is no direct information in these documents about Scott Pruitt's specific stance on climate change.",0,0.5
104,vanilla,How did Japan react to trade deficit talks?,Seeks bilateral deal,"The provided documents do not contain information about how Japan reacted to trade deficit talks. All the documents discuss U.S. relations with other countries in terms of commerce, NAFTA renegotiations, or specific bilateral deals but there is no mention of Japan's reaction to any trade deficit talks specifically.",0,0.0
105,vanilla,What did Carter Page testify?,Denied collusion,"Carter Page's testimony is not detailed in any of the retrieved documents. The only information available about his involvement pertains to him being scheduled for an appearance before a House committee investigating alleged efforts by Russia to interfere with the presidential campaign, as stated in Doc ID: 0146 and Doc ID: 0047.",0,0.5
106,vanilla,How many judges did Trump nominate?,Over 100 nominees,"Based on the provided documents, there is no specific information available regarding how many judges President Trump nominated. The documents focus primarily on the proceedings related to his travel ban and do not mention any nominations by him for judicial positions. It would be advisable to search other sources for this particular detail.",0,0.0
107,vanilla,What was DeVos education budget cut?,$9 billion proposed cut,"The specific details about Betsy DeVos's education budget are not mentioned in any of the given documents. However, it is implied that President Trump chose her to reform the broken education system. For detailed information regarding the budget cuts made by DeVos for the education sector, more focused documentation or resources would be required.",0,0.4
108,vanilla,How did Philippines respond to aid rejection?,Ended joint exercises,"The provided documents don't contain information about how the Philippines responded to an aid rejection. However, they indicate that President Rodrigo Duterte of the Philippines was invited to Washington by President Trump despite criticism over human rights issues in his country and that there were discussions on expanding anti-abortion policies globally under Trump's administration which might have affected Philippine aid indirectly.",0,0.25
109,vanilla,What did WikiLeaks say about CIA tools?,Denied authenticity,"The given documents do not contain information regarding what WikiLeaks said about CIA tools. The documents mostly talk about different controversies involving Seth Rich, Brian Williams, Director of National Intelligence Dan Coats, HR McMaster, and a New York Times Mexican telecom mogul Michael Schmidt.",0,0.0
110,vanilla,How many protesters were at Women's March?,Over 3 million,"Based on the provided documents, there is no specific information regarding the number of protesters at the Women's March. The documents mainly discuss individual cases related to Antifa movements, political events in Tennessee, behavior at college campuses, and Planned Parenthood protests. For accurate numbers concerning the Women's March attendance, one would need to consult different sources or specific reports on that event.",0,0.5
111,vanilla,What was Gorsuch confirmation vote?,54-45 vote,"The provided documents do not contain information about the confirmation vote for Gorsuch. However, he is known to have been confirmed as an Associate Justice of the Supreme Court by the U.S. Senate in April 2017. If you need more detailed information regarding his confirmation process or voting results, I would recommend looking for additional sources.",0,0.5
112,vanilla,How did Turkey respond to visa suspension?,Suspended US visas,"Based on the document titled ""U.S. visas issued to citizens of Trump travel ban nations continue to decline,"" it is clear that Turkey was one of the countries affected by President Donald Trump's temporary travel bans, which led to a significant reduction in visitor visas being issued to Turkish citizens. This response can be seen as part of the wider implications and reactions stemming from the implementation of these controversial travel restrictions.",0,0.25
113,vanilla,What did Schumer say about Supreme Court?,Opposed nuclear option,"The provided documents do not contain any information regarding what Schumer said about the Supreme Court. The documents focus on topics like President Trump's travel ban, healthcare debates involving Miss USA Kara McCullough, remarks by Judge Napolitano on Obama’s surveillance methods and Justice Anthony Kennedy's potential retirement, among others.",0,0.0
114,vanilla,How many agencies would merger plan affect?,19 agencies,"Based on the available documents, there are no explicit mentions of any specific number of agencies that would be affected by a merger plan. However, two Wall Street financial regulators - possibly referring to different parts of the same agency or separate entities - were mentioned as facing cuts or major structural changes under President Donald Trump's fiscal 2e budget proposal.",0,0.5
115,vanilla,What was Sessions marijuana policy?,Stricter enforcement,"Based on the retrieved document with Doc ID: 0145 titled ""Vermont governor snuffs legal pot, tells lawmakers to 'get it right',"" Vermont's Governor at the time had temporarily halted efforts to legalize recreational marijuana in the state. This suggests that while there was consideration for legalization, certain concerns or issues needed further resolution before moving forward with policy changes regarding marijuana.",0,0.4
116,vanilla,How did India react to H1B changes?,Expressed concern,"The documents provided do not contain information regarding India's reaction to H1B visa changes. These documents primarily discuss U.S. academic groups opposing Trump's visa vetting plans, political implications of these proposals and their potential impact on welfare use by illegal immigrants in the United States. To find specific information about India's reaction to H1B visa changes, you might want to search for documents or articles that specifically address this topic.",0,0.0
117,vanilla,What did Conway say about microwave surveillance?,No evidence found,"The documents provided do not contain any information regarding what Conway said about microwave surveillance. However, if you have further queries related to the available documents or need more information from other sources, feel free to ask.",0,0.5
118,vanilla,How many bills did Trump sign?,28 bills,"Based on the information from these four relevant documents, President Donald Trump signed one spending bill that was $1.2 trillion in total to avoid a government shutdown (Doc ID: 0456). There is no other document explicitly stating another bill being signed by Trump within this provided collection of documents.",0,0.0
119,vanilla,What was Mnuchin's debt ceiling position?,Must be raised,"According to Document ID 0014, U.S. Treasury Secretary Steven Mnuchin expressed his confidence that Congress would raise the federal debt limit ""before there's an issue with U.S. creditworthiness."" This implies that he was optimistic about raising the debt ceiling on time to avoid any potential problems related to the country's financial credibility.",0,0.0
120,vanilla,How did South Africa respond to tweet?,Demanded explanation,"Based on the given documents, there is no direct response from South Africa regarding a specific tweet mentioned in these documents. The available information pertains primarily to various incidents involving high school students, British medics processing migrants with ISIS stuff and their wives' reactions, as well as statements made by President Trump on Twitter concerning different topics such as Betsy DeVos, Mahmoud Abbas, the National Peace Officers' Memorial Service, etc. The information provided does not include a specific incident involving South Africa or any response from them to a tweet.",0,0.4
121,vanilla,What did Price say about healthcare access?,Access will improve,"Based on the given documents, there is no specific information available regarding what Price said about healthcare access. The documents cover various topics related to the U.S. healthcare system, including opinions from Miss USA Kara McCullough, Paul Ryan's call for health insurers to stick with Obamacare, Fred Upton's proposed amendment to the healthcare plan, Barack Obama's plea not to repeal the Affordable Care Act, and comments about the likelihood of a healthcare overhaul passing in the House. However, none of these documents provide a direct quote or statement from Price regarding healthcare access.",0,0.5
122,vanilla,How many troops for Afghanistan surge?,"Additional 4,000 troops","Based on the given document IDs, none of them directly address your query regarding the specific number of troops involved in an ""Afghanistan surge."" However, it should be noted that President Trump's draft counterterrorism strategy demands U.S. allies to shoulder more burden against Islamist militants (Doc ID: 0449). For a detailed and accurate answer on the number of troops involved in an Afghanistan surge, further document research is needed.",0,0.0
123,vanilla,What was Carson's housing policy?,Reduce federal role,"Based on the documents provided, there is no specific information regarding a ""Carson's Housing Policy"". The documents discuss various issues related to immigration, illegal aliens, and their impact on housing in Europe, town halls clashes between legal Americans and illegal aliens in California, and a Pentagon leasing an apartment for the White House Military Office. If Carson refers to Ben Carson or any other specific person's policy, more context or reference documents would be needed.",0,0.0
124,vanilla,How did Brazil react to steel tariffs?,Filed WTO complaint,"The provided documents do not contain information on how Brazil reacted to steel tariffs, so I am unable to provide an answer based on these specific documents. However, it is worth mentioning that in response to U.S. steel tariffs imposed under Section 232 of the Trade Expansion Act, many countries including Canada and Mexico - both part of NAFTA - have retaliated by imposing their own set of tariffs on American goods. As for Brazil, they are also a major exporter of steel to the U.S., but there's no specific mention in these documents about how they reacted.",0,0.3
125,vanilla,What did Giuliani say about travel ban?,Not a Muslim ban,"According to the given documents, there is no specific information available regarding what Giuliani said about the travel ban. The documents mainly discuss actions and viewpoints of other individuals such as Sally Yates, FBI Director James Comey, President Trump's executive order on a travel ban being deemed discriminatory by U.S. appeals court, legal challenges to the travel ban extending into Supreme Court, and others' perspectives about citizenship not being a reliable indicator of terror threats.",0,0.4
126,vanilla,How many sanctuary cities were targeted?,Nine cities,"Based on the information from Doc ID: 0439, it can be inferred that multiple ""sanctuary cities"" in Texas were targeted due to Governor Greg Abbott signing into law a measure designed to punish them. However, this document doesn't specify an exact number of sanctue citys being targeted.",0,0.5
127,vanilla,What was Zinke's national monuments review?,27 monuments reviewed,"Zinke's national monuments review, conducted as part of his role at the Interior Department under the Trump administration, involved examining U.S. national monuments to potentially open them up for economic development. This action prompted public interest and debate, with many comments expressing hope that such sites would be protected despite the review process.",0,0.7
128,vanilla,How did Egypt respond to aid cut?,Expressed disappointment,"Based on the given documents, there is no direct information available regarding how Egypt responded specifically to an aid cut. However, it can be inferred from Doc ID: 0341 that under Trump administration's budget proposal, some of the United States' foreign military grants were converted to loans as part of a larger effort to reduce spending on diplomacy and certain programs.",0,0.25
129,vanilla,What did Rogers say about collusion evidence?,No direct evidence,"The documents do not contain any information from ""Rogers"" about collusion evidence. Therefore, it's impossible to answer this query based solely on these given documents.",0,0.5
130,vanilla,How many embassies remained without ambassadors?,Dozens vacant,"Based on the given documents, we can infer that two embassies (Turkey's and an unnamed Middle Eastern country's) were left without their respective ambassadors following incidents described in the documents related to President Trump's travel bans, protest by Turkish security officials, and retirement of a senior U.S. diplomat for the Middle East. Please note that this answer assumes that all these events led to vacancies in the embassies mentioned, which might not be necessarily accurate as such information is not explicitly provided in the documents.",0,0.6
131,vanilla,What was Haley's North Korea statement?,All options on table,"The document does not include any specific information about Haley's statement regarding North Korea. To accurately respond to this query, more relevant documents are needed that discuss Ambassador Nikki Haley's statements or remarks concerning the situation in North Korea.",0,0.0
132,vanilla,How did Denmark react to Greenland comment?,Called sale idea absurd,"The provided documents do not contain specific information regarding Denmark's reaction to any comments about Greenland. The search would need additional relevant documents for an accurate response. However, from Doc ID: 0792 we can gather that there was a caller who shared her experience with her husband working as a medic on the borders of Europe and interacting with migrants. This may indirectly relate to Denmark's stance on migration issues in Europe, but it does not provide a direct reaction from Denmark regarding Greenland comment.",0,0.5
133,vanilla,What did Burr say about investigation scope?,Following evidence,"Based on the information given, it is not explicitly mentioned what Burr specifically said about the investigation scope. However, from Doc ID: 0373, it can be inferred that he, as a leader of the House Intelligence Committee's investigation into alleged Russian interference in the 2016 presidential election, has likely had discussions on this matter. To get Burr's exact statement about the investigation scope, more specific documents or statements need to be referenced.",0,0.0
134,vanilla,How many regulations were repealed?,67 regulations,"Based on the information available from the provided documents, no specific number of regulations repealed is mentioned or can be inferred.",0,0.25
135,vanilla,What was Ross's trade deficit solution?,Increase exports,"Based on Doc ID: 0207, U.S. President Donald Trump desired to achieve more bilateral commerce with Israel while also reducing the U.S. trade deficit. This is suggested as a solution by Ross in this document. However, it's not explicitly mentioned that Ross himself proposed this particular solution.",0,0.6
136,vanilla,How did Ireland respond to tax plan?,Opposed tax changes,"Based on the documents retrieved, there isn't any specific information regarding how Ireland responded to the U.S. tax plan. The documents primarily discuss perspectives from various American figures and organizations like Mitch McConnell, Steven Mnuchin, Paul Ryan, CEOs of Target and ADM, as well as general statements about tax reform in the U.S. House of Representatives.",0,0.4
137,vanilla,What did Stone say about WikiLeaks?,Denied advance knowledge,"Based on the given documents, there is no specific information available regarding what ""Stone"" said about WikiLeaks. The documents do not mention any statements made by Stone in relation to WikiLeaks or their activities. Therefore, without additional context or source materials, it's impossible to provide an accurate answer to this question based on the provided documents.",0,0.3
138,vanilla,How many leaks were investigated?,27 investigations,"Based on the given documents, it is not clear how many leaks were specifically being investigated as there are no explicit numbers or figures mentioned in any of them. The documents refer to general issues related to ""leaks"" within various contexts but do not provide a specific number for investigation purposes.",0,0.2
139,vanilla,What was Chao's infrastructure plan?,Public-private partnership,"Based on Document ID: 0246, President Trump proposed a budget that included $200 billion in infrastructure spending over a decade. The administration believed this funding would encourage private investment in infrastructure projects.",0,0.9
140,vanilla,How did Argentina react to biodiesel tariffs?,WTO challenge,The provided documents do not include information about how Argentina reacted to biodiesel tariffs.,0,0.0
141,vanilla,What did Clapper say about FISA?,No illegal surveillance,"Based on the provided documents, none of them specifically mention what former Director of National Intelligence James Clapper said about the Foreign Intelligence Surveill**ance Act (FISA). The contents relate to various statements or events involving both FBI Director Comey and Clapper, but they don't directly address Clapper's comments on FISA.",0,0.0
142,vanilla,How many executive branch positions unfilled?,Over 500 positions,"Based on the document with Doc ID: 0374, President Donald Trump is weeks away from naming anyone to the board of the Federal Reserve, indicating that there are currently three executive branch positions unfilled in this case. However, it should be noted that this specific information refers only to these particular vacancies and does not provide a comprehensive count for all executive branch positions across the entire administration.
",0,0.0
143,vanilla,What was Mulvaney's budget philosophy?,Taxpayer focused,"Mulvaney's budget philosophy, as indicated in the retrieved documents, appears to be centered around fiscal responsibility and cutting where necessary. He is portrayed as someone who understands that cuts might upset Congress due to their concerns about voter base items being affected. Mulvaney seems to focus on making efficient decisions even if they are not popular among all parties involved.",0,0.0
144,vanilla,How did Kenya react to aid reduction?,Questioned cuts,"The provided documents do not contain specific information regarding how Kenya reacted to an aid reduction. They discuss general reactions or implications related to President Trump's administration policies, such as converting military grants into loans, cutting foreign aid and diplomatic budget, reducing funding for the United Nations, withdrawing from the Paris climate deal, and expanding global anti-abortion policy. However, these documents do not directly address Kenya's reaction to any potential aid reduction.",0,0.25
145,vanilla,What did McGahn say about Flynn warning?,Informed of concerns,"The given documents do not contain any information regarding what McGahn said about Flynn's warning. The documents focus primarily on Former Acting U.S. Attorney General Sally Yates, her warning to the White House about then-National Security Adviser Michael Flynn being compromised, and a separate incident involving former CIA Agent Phil Mudd threatening Congressman Trey Gowdy.",0,0.5
146,vanilla,How many voter fraud cases reported?,No widespread fraud,"Based on the given documents, there are at least two major incidents related to voter fraud that have been exposed or investigated:
1. In Virginia, it has been revealed that thousands of illegal aliens voted in elections (as per Doc ID: 0546).
2. President Trump created a commission to investigate allegations of voter fraud and suppression following his claims about such incidents (Doc ID: 0376). However, the exact number of cases that will be reported or investigated by this panel is not mentioned in the documents provided.",0,0.5
147,vanilla,What was Perry's grid reliability study?,Baseload power focus,"Based on the given documents retrieved for the query about Perry's grid reliability study, none of these documents contain information or reference to it directly. As such, an accurate answer can't be provided using only this data set. A more thorough search might reveal pertinent details.",0,0.0
148,vanilla,How did Sweden react to comment?,Requested clarification,"Based on the available documents, there are no explicit details about how Sweden as a whole has reacted to any particular comments or incidents mentioned in these blogs. However, it can be inferred that some individuals within Sweden may have strong opinions regarding topics like political transformations, health care systems, and immigration policies based on the content of the documents provided.",0,0.85
149,vanilla,What did Rosenstein say about memo?,Stands by memo,"Rosenstein stated that he wrote the memo after President Donald Trump had informed him one day before FBI Director James Comey's firing (on May 9) that he wanted to dismiss Comey. He expressed his personal support for Comey, despite this.",0,0.8
150,vanilla,How many climate scientists resigned?,Several resignations,"Based on the documents provided, there is no mention of any climate scientists resigning in relation to the Paris accord or President Trump's decision. Therefore, an accurate count cannot be given from this information alone.",0,0.8
151,vanilla,What was Carson's poverty perspective?,Mindset over money,"Based on the given documents, there are no specific details regarding Carson's poverty perspective. However, the context of President Trump's budget cut proposals indicates that his administration may have plans to reduce federal aid to certain groups, including the poor and people living in rural areas. These changes align with conservative demands for a smaller government role in welfare programs.",0,0.4
152,vanilla,How did Nicaragua respond to climate deal?,Wanted stronger deal,"Based on the given document excerpts, there is no direct response or reaction from Nicaragua regarding the Paris climate agreement available in these sources. Please refer to other resources for more information on Nicaragua's stance towards this issue.",0,0.45
153,vanilla,What did Wray say about independence?,FBI independence vital,"Based on the provided documents, there is no specific information available regarding what Wray said about independence as none of the given document titles or content mention this topic directly in relation to an individual named 'Wray'. The documents cover topics such as healthcare rights and privileges, a city removing a religious quote bench for atheists, freedom of speech in Cuba, Secretary of Defense James Mattis' views on defense matters, and a high school principal confiscating yearbooks due to a student quoting President Trump. 

Therefore, without additional documents that discuss Wray and his views on independence, it is not possible to provide an accurate answer based on the current document set.",0,0.0
154,vanilla,How many security clearances reviewed?,Hundreds reviewed,"Based on the provided documents, there is no specific information regarding the number of security clearances reviewed in this context. The focus is more on policy changes like visa vetting requirements or the actions of governmental departments during a particular event (such as Benghazi). To answer your question accurately, we would need additional information or documents that directly address the topic of security clearance reviews.",0,0.4
155,vanilla,What was Tillerson's diplomatic hiring freeze?,13% staff reduction,"The provided documents do not contain information about Tillerson's diplomatic hiring freeze. The available content focuses on his involvement in events such as Rolling Thunder, interviews with Chuck Todd, urging ASEAN to cut funding for North Korea, and his stance on hosting an event during Ramadan.",0,0.0
156,vanilla,How did Yemen react to raid?,Demanded investigation,"The provided documents do not contain specific information on how Yemen reacted to the mentioned raid. The closest related document is about the U.S. arms sale to Saudi Arabia, which could possibly be linked with military actions in the region, but it does not directly address Yemen's reaction to a raid.",0,0.4
157,vanilla,What did Mueller request from White House?,Staff interviews,"Based on the information in Document ID: 0271, former FBI chief Robert Mueller was appointed by the U.S. Justice Department as special counsel to investigate alleged Russian interference in the 2016 presidential election and any possible ties between Russia and President Trump's campaign or transition team. However, this document does not specify what exactly Mueller requested from the White House.",0,0.0
158,vanilla,How many DACA recipients affected?,"800,000 recipients","Based on the given documents, there is no specific information available about how many DACA (Deferred Action for Childhood Arrivals) recipients are affected. The documents discuss topics related to illegal immigration, civil liberties concerning immigrant detention, and changes in visa issuance due to travel bans and legislation on Afghans who assisted U.S. forces. However, none of these directly address the status or number of DACA recipients.",0,0.0
159,vanilla,What was Pruitt's clean power plan action?,Repeal proposed,"Based on the retrieved documents, there is no direct information about Scott Pruitt's specific actions related to the Clean Power Plan in these documents. However, they do indicate that as EPA chief under President Trump, he led efforts to roll back environmental regulations and reduce staff at the agency. Further research would be needed for more detailed information on his actions regarding the Clean Power Plan specifically.",0,0.5
160,vanilla,How did Thailand respond to visa changes?,Visa process changes,"The documents do not directly address how Thailand responded to U.S. visa changes, but they mention that an embarrassing video of King Maha Vajiralongkorn wearing a crop top and showing his tattoos has prompted authorities in Thailand to threaten action against Facebook. However, the connection between this incident and any changes in U.S. visa policy is not explicitly stated in these documents.",0,0.1
161,vanilla,What did Gorka say about terrorism?,Focus on radical Islam,"According to the given documents, there is no direct statement or quote attributed to ""Gorka"" regarding terrorism. To provide an accurate response, more specific information or context would be required. The documents provided mainly address statements made by Polish Prime Minister Beata Szydlo on migrants, criticisms from a Navy SEAL Carl Higbie towards Katy Perry's remarks about the Manchester attack, Tucker Carlson's comments on conditioning to accept terrorism, and an incident involving an Antifa leader in Turkey.",0,0.4
162,vanilla,How many press briefings were televised?,Reduced frequency,"Based on the provided documents, it is not explicitly stated how many White House daily press briefings were televised. The information available only indicates that there was at least one press conference held by President Trump with Jeanine Pirro and another by Sean Spicer, but no specific number of televised briefings can be determined from these sources alone.",0,0.75
163,vanilla,What was Devos Title IX position?,Review Obama policy,"Based on the given document, there is no specific information available about Betsy DeVos's position on Title IX. We would need to refer to other sources for detailed insights into her stance.",0,0.35
164,vanilla,How did Panama react to trump hotel?,Ethics concerns,"The given documents do not contain any specific information regarding how Panama reacted to Trump Hotel. Therefore, I am unable to answer this question accur*y based on these particular documents.",0,0.4
165,vanilla,What did McCabe say about loyalty?,No loyalty pledge,"Based on the given documents, there is no specific information available regarding what McCabe said about loyalty. The provided documents contain statements from other individuals such as H.R. McMaster, President Trump, and former FBI Director Comey concerning national security, presidential advice, NATO support, and a statement about Zbigniew Brzezinski's contributions during his tenure as the U.S. National Security Adviser under Jimmy Carter.",0,0.0
166,vanilla,How many social media accounts monitored?,Thousands monitored,"The provided documents do not specify the exact number of social media accounts that were monitored. They mention Facebook, Amazon, Google, Twitter, Instagram (implied by 'social networks'), and various state department online accounts but does not provide a specific count for any of these platforms.",0,0.4
167,vanilla,What was Pompeo's Iran deal stance?,Verify and enforce,"Based on the available documents, there is no explicit information regarding Secretary of State Mike Pompeo's stance on the Iran nuclear deal. The provided documents discuss President Trump's decisions to pull out of the Paris climate agreement and impose new sanctions on Iran, as well as an internal debate within the administration concerning these actions. However, they do not provide specific details about Secretary Pompeo's views on the Iran nuclear deal.",0,0.5
168,vanilla,How did Vietnam respond to trade deficit?,Trade deficit focus,"Based on the retrieved documents, there is no specific information available about how Vietnam has responded to the U.S. trade deficit. However, it can be inferred from the deals signed between the two countries that they are actively engaging in efforts to improve their economic relationship.",0,0.7
169,vanilla,What did Graham say about war authority?,New AUMF needed,"Based on the given documents, there's no information available regarding what Graham said about war authority as none of the retrieved documents contain relevant content. Please consider providing more specific details or checking other sources for this particular query.",0,0.0
170,vanilla,How many climate regulations reversed?,24 regulations,"The provided documents do not specify the exact number of climate regulations that have been reversed by the Trump administration. They only mention President Trump's withdrawal from the Paris Climate Agreement and his regulatory overhaul, which includes a speedier permit process and simpler rules as per U.S. industry groups.",0,0.25
171,vanilla,What was Cohn's tax reform outline?,20% corporate rate,"The documents do not contain specific information regarding ""Cohn's"" tax reform outline, as they focus more broadly on various aspects of tax reforms in different contexts such as border adjustment taxes or full-scale tax reform plans within the Republican party and U.S Senate.",0,0.25
172,vanilla,How did Malaysia react to TPP withdrawal?,Seeks bilateral deals,"Based on the provided documents, there is no specific information about Malaysia's reaction to the U.S. withdrawal from the Paris Climate Agreement or the Trans-Pacific Partnership (TPP). The documents discuss reactions from Finland, world leaders and Democrats in Congress, G7 leaders, Asian nations pulled into China's orbit, and Obama's criticism of Trump's decision.",0,0.0
173,vanilla,What did Warner say about tech companies?,Tech cooperation needed,"The provided documents do not contain any information from Warner regarding technology companies. The query cannot be answered accurately with the given document set. Please refer to other relevant sources for this information.
-----------------",0,0.25
174,vanilla,How many border patrol agents hired?,500 agents,"Based on the provided documents, there is no specific information available regarding the number of border patrol agents hired under the Trump administration. The documents focus primarily on topics such as increased immigration arrests, detention beds funding, construction of a U.S.-Mexico wall, and legislation against ""sanctuary cities.""",0,0.0
175,vanilla,What was Pai's net neutrality plan?,Repeal Title II,The given documents do not contain information about Pai's net neutrality plan.,0,0.25
176,vanilla,How did Morocco respond to travel changes?,Implementation concerns,"Based on the available documents, there isn't direct information about how Morocco specifically reacted to any recent travel changes. However, it can be inferred that as part of international relations during overseas trips or diplomatic engagements like Michelle Obama's visit to Italy and Donald Trump's maiden international trip, such countries may have responded in accordance with the rules set by these visits or talks. This could involve changes in their own travel policies as a result of bilateral agreements or responses to global events that affect travel norms, like restrictions on Cuba mentioned in one document. However, more specific information is required to provide an accurate answer for Morocco's response to travel changes.",0,0.75
177,vanilla,What did Grassley say about oversight?,Document requests,"Chairman Chuck Grassley of the Senate Judiciary Committee urged the FBI to publicly confirm whether or not it is investigating President Donald Trump, indicating his concern for proper oversight in this matter.",0,0.65
178,vanilla,How many security threats identified?,17 major threats,"Based on the information from the provided documents, two major security threats have been identified. These are the global computer ransomware attacks which caused an emergency meeting to be held by President Trump's homeland security adviser (Doc ID:0348), and Russia's attempts at interfering in foreign elections considered as one of the top worldwide security threats by a senior Democrat on the U.S. Senate Intelligence Committee (Doc ID: 0386).",0,0.5
179,vanilla,What was Perdue's farm bill position?,Maintain funding,"Based on the available documents, there is no explicit information about Secretary Sonny Perdue's stance or position on the farm bills mentioned in them. These documents discuss various agricultural issues like proposed cuts to agriculture spending by Trump and potential impacts of immigration policies on farmers, but they do not provide details about Perdue's specific views or actions regarding any particular farm bill.",0,0.0
180,vanilla,How did Tanzania react to ivory ban?,Support ban,The provided documents do not contain information about how Tanzania reacted to an ivory ban.,0,0.0
181,vanilla,What did Hatch say about healthcare?,Bipartisan approach,"The given documents do not contain any specific information about what Hatch said about healthcare. To provide an accurate response, further information or additional documents mentioning Senator Orrin G. Hatch's statements regarding healthcare would be required.",0,0.25
182,vanilla,How many hate crimes reported?,"1,094 incidents","Based on the provided documents, there is no specific information about the number of hate crimes reported. However, these documents discuss topics such as an Antifa leader's abuse in Turkey, illegal aliens committing sex crimes in Texas, a terror attack by a British-born attacker, and lockdown at a liberal college due to perceived threats from immigrants or students with hot glue guns.",0,0.2
183,vanilla,What was FDA commissioner's opioid plan?,Prescribing limits,"Based on the retrieved documents, there is no specific information about the Opioid Plan of Scott Gottlieb as head of FDA mentioned in the documents. The documents mainly discuss his confirmation, the independence he promised from White House during his antitrust nominee position and a bill reauthorizing FDA user fees which are expected to have bipartisan support but does not delve into details about Gottlieb's opioid plan.",0,0.25
184,vanilla,How did Honduras react to TPS decision?,Extension request,"Based on the retrieved documents, there is no specific information available about how Honduras reacted to the Temporary Protected Status (TPS) decision. The documents do not contain any references or content regarding this topic related to Honduras's reaction. Further research may be required to answer the question accurnately.",0,0.2
185,vanilla,What did Collins say about healthcare vote?,Cannot support,"The given documents do not contain any information or statements made specifically by ""Collins"" regarding a healthcare vote. Therefore, an answer cannot be generated from these documents. If there are other sources available that mention Collins' statement, those may provide more insight.",0,0.9
186,vanilla,How many intelligence leaks prosecuted?,27 cases,"Based on the provided documents, there isn't any specific information about how many intelligence leaks have been successfully prosecuted. However, it is clear from Newt Gingrich's statement that he advocates for harsher consequences to deter future leaks and President Trump has shown commitment in bringing those responsible to justice.",0,0.5
187,vanilla,What was Labor Secretary's overtime rule?,Review threshold,"Based on the given document (Doc ID: 0183), it seems that there is no specific mention of an ""overtime rule"" by U.S. Labor Secretary Alexander Acosta in this context. The document does talk about a fiduciary rule taking effect, which requires retirement advisers to act in the best interests of their clients. However, regarding an overtime rule, further documents would be required for accurate information.",0,0.65
188,vanilla,How did Indonesia react to trade review?,Market access,The provided documents do not contain information about Indonesia's reaction to the trade review.,0,0.0
189,vanilla,What did Feinstein say about surveillance?,Reform needed,"Based on Document ID 0680, Judge Napolitano discussed allegations that Senator Rand Paul and another senator were under surveillance by the Obama administration. However, this document does not mention anything specific about what Feinstein said regarding surveillance.",0,0.0
190,vanilla,How many climate scientists transferred?,50 scientists,"The provided documents do not contain any specific information about how many climate scientists transferred or their reasons for doing so. Therefore, an accurate response to this query cannot be made from these particular documents.",0,0.2
191,vanilla,What was Carson's lead paint policy?,Funding cuts,"Based on the given document titles and contents, there is no information available about Tucker Carlson's lead paint policy. The documents primarily discuss political events involving different public figures but do not mention any specific policies related to Carson or lead paint. To provide a relevant answer, more precise information or additional sources would be required.",0,0.5
192,vanilla,How did Moldova react to aid cut?,Aid reduction,"The provided documents do not contain information about Moldova's reaction to an aid cut. All the documents discuss potential actions or proposals from President Trump, such as cutting foreign aid or converting military grants into loans. However, there is no specific mention of Moldova in these contexts.",0,0.3
193,vanilla,What did Portman say about tariffs?,Targeted approach,"Based on the provided documents, there is no direct statement or information regarding what Senator Portman said about tariffs. Therefore, we can't accurntrate his views from these particular documents.",0,0.4
